"BU_DESC__c","BU_ID__c","Code_Indexing__c","COUNTRY_ID__c","COUNTRY__c","GM_DESC__c","GM_ID__c","Id","MARKET_DESC__c","MARKET_ID__c","Name","OwnerId","Product_Id__c","Product_Name__c","RHMS_Vertical_Id__c","SBU1_DESC__c","SBU1_ID__c","SBU2_DESC__c","SBU2_ID__c","STATE_ID__c","SUBVERTICAL_DESC__c","SUBVERTICAL_ID__c","VERTICAL_DESC__c","VERTICAL_ID__c"
"","","BRA||AC","BRA","Brazil","","","a0h0q000004KjNqAAK","","","Acre","0050q0000036HRvAAM","","","","","","","","AC","","","",""
"","","IDN||AC","IDN","Indonesia","","","a0h0q000004KjNrAAK","","","Aceh  [Atjeh] (Special Region)","0050q0000036HRvAAM","","","","","","","","AC","","","",""
"","","NLD||AC","NLD","Netherlands","","","a0h0q000004KjNsAAK","","","Achtkarspelen","0050q0000036HRvAAM","","","","","","","","AC","","","",""
"","","THA||AC","THA","Thailand","","","a0h0q000004KjNtAAK","","","Amnat Charoen","0050q0000036HRvAAM","","","","","","","","AC","","","",""
"","","FRA||AD","FRA","France","","","a0h0q000004KjNuAAK","","","Ardennes","0050q0000036HRvAAM","","","","","","","","AD","","","",""
"","","NGA||AD","NGA","Nigeria","","","a0h0q000004KjNvAAK","","","Adamawa","0050q0000036HRvAAM","","","","","","","","AD","","","",""
"","","NLD||AD","NLD","Netherlands","","","a0h0q000004KjNwAAK","","","Ambt Delden","0050q0000036HRvAAM","","","","","","","","AD","","","",""
"","","TUR||AD","TUR","Turkey","","","a0h0q000004KjNxAAK","","","Adana","0050q0000036HRvAAM","","","","","","","","AD","","","",""
"","","YEM||AD","YEM","Yemen","","","a0h0q000004KjNyAAK","","","Adan","0050q0000036HRvAAM","","","","","","","","AD","","","",""
"","","FRA||AE","FRA","France","","","a0h0q000004KjNzAAK","","","Alpes Maritimes","0050q0000036HRvAAM","","","","","","","","AE","","","",""
"","","NLD||AE","NLD","Netherlands","","","a0h0q000004KjO0AAK","","","Aarle-Rixtel","0050q0000036HRvAAM","","","","","","","","AE","","","",""
"","","USA||AE","USA","United States","","","a0h0q000004KjO1AAK","","","Armed Forces Europe","0050q0000036HRvAAM","","","","","","","","AE","","","",""
"","","NLD||AF","NLD","Netherlands","","","a0h0q000004KjO2AAK","","","Amersfoort","0050q0000036HRvAAM","","","","","","","","AF","","","",""
"","","TUR||AF","TUR","Turkey","","","a0h0q000004KjO3AAK","","","Afyon","0050q0000036HRvAAM","","","","","","","","AF","","","",""
"","","USA||AF","USA","United States","","","a0h0q000004KjO4AAK","","","American Samoa Federal","0050q0000036HRvAAM","","","","","","","","AF","","","",""
"","","CHE||AG","CHE","Switzerland","","","a0h0q000004KjO5AAK","","","Argovia","0050q0000036HRvAAM","","","","","","","","AG","","","",""
"","","CHL||AG","CHL","Chile","","","a0h0q000004KjO6AAK","","","Aisen del Gral. C.I. del Campo","0050q0000036HRvAAM","","","","","","","","AG","","","",""
"","","FRA||AG","FRA","France","","","a0h0q000004KjO7AAK","","","Ariege","0050q0000036HRvAAM","","","","","","","","AG","","","",""
"","","GBR||AG","GBR","United Kingdom","","","a0h0q000004KjO8AAK","","","Argyll and Bute","0050q0000036HRvAAM","","","","","","","","AG","","","",""
"","","ITA||AG","ITA","Italy","","","a0h0q000004KjO9AAK","","","Agrigento","0050q0000036HRvAAM","","","","","","","","AG","","","",""
"","","MEX||AG","MEX","Mexico","","","a0h0q000004KjOAAA0","","","Aguascalientes","0050q0000036HRvAAM","","","","","","","","AG","","","",""
"","","NLD||AG","NLD","Netherlands","","","a0h0q000004KjOBAA0","","","Amerongen","0050q0000036HRvAAM","","","","","","","","AG","","","",""
"","","PHL||AG","PHL","Philippines","","","a0h0q000004KjOCAA0","","","Agusan del Norte","0050q0000036HRvAAM","","","","","","","","AG","","","",""
"","","ROU||AG","ROU","Romania","","","a0h0q000004KjODAA0","","","Arges","0050q0000036HRvAAM","","","","","","","","AG","","","",""
"","","RUS||AG","RUS","Russian Federation","","","a0h0q000004KjOEAA0","","","Aga","0050q0000036HRvAAM","","","","","","","","AG","","","",""
"","","VNM||AG","VNM","Viet Nam","","","a0h0q000004KjOFAA0","","","An Giang","0050q0000036HRvAAM","","","","","","","","AG","","","",""
