BU_DESC__c,BU_ID__c,Code_Indexing__c,COUNTRY_ID__c,COUNTRY__c,GM_DESC__c,GM_ID__c,MARKET_DESC__c,MARKET_ID__c,Name,Product_Id__c,Product_Name__c,RHMS_Vertical_Id__c,SBU1_DESC__c,SBU1_ID__c,SBU2_DESC__c,SBU2_ID__c,STATE_ID__c,SUBVERTICAL_DESC__c,SUBVERTICAL_ID__c,VERTICAL_DESC__c,VERTICAL_ID__c
,,CHE||AG,CHE,Switzerland,,,,,Argovia,,,,,,,,AG,,,,
,,CHL||AG,CHL,Chile,,,,,Aisen del Gral. C.I. del Campo,,,,,,,,AG,,,,
,,FRA||AG,FRA,France,,,,,Ariege,,,,,,,,AG,,,,
,,GBR||AG,GBR,United Kingdom,,,,,Argyll and Bute,,,,,,,,AG,,,,
,,ITA||AG,ITA,Italy,,,,,Agrigento,,,,,,,,AG,,,,
,,MEX||AG,MEX,Mexico,,,,,Aguascalientes,,,,,,,,AG,,,,
,,NLD||AG,NLD,Netherlands,,,,,Amerongen,,,,,,,,AG,,,,
,,PHL||AG,PHL,Philippines,,,,,Agusan del Norte,,,,,,,,AG,,,,
,,ROU||AG,ROU,Romania,,,,,Arges,,,,,,,,AG,,,,
,,RUS||AG,RUS,Russian Federation,,,,,Aga,,,,,,,,AG,,,,
,,VNM||AG,VNM,Viet Nam,,,,,An Giang,,,,,,,,AG,,,,
,,NLD||AH,NLD,Netherlands,,,,,Arnhem,,,,,,,,AH,,,,
,,CHE||AI,CHE,Switzerland,,,,,Appenzell Inner-Rhodes,,,,,,,,AI,,,,
,,ESP||AI,ESP,Spain,,,,,Alicante,,,,,,,,AI,,,,
,,FRA||AI,FRA,France,,,,,Ain,,,,,,,,AI,,,,
,,JPN||AI,JPN,Japan,,,,,Aichi-Ken,,,,,,,,AI,,,,
,,NLD||AI,NLD,Netherlands,,,,,Albrandswaard,,,,,,,,AI,,,,
,,TUR||AI,TUR,Turkey,,,,,Adiyaman,,,,,,,,AI,,,,
,,ARE||AJ,ARE,United Arab Emirates,,,,,Ajman,,,,,,,,AJ,,,,
,,NLD||AJ,NLD,Netherlands,,,,,Andijk,,,,,,,,AJ,,,,
,,JPN||AK,JPN,Japan,,,,,Akita-Ken,,,,,,,,AK,,,,
,,KAZ||AK,KAZ,Kazakhstan,,,,,Aqțbe,,,,,,,,AK,,,,
,,NGA||AK,NGA,Nigeria,,,,,Akwa Ibom,,,,,,,,AK,,,,
,,NOR||AK,NOR,Norway,,,,,Akershus,,,,,,,,AK,,,,
