BU_DESC__c,BU_ID__c,Code_Indexing__c,COUNTRY_ID__c,COUNTRY__c,GM_DESC__c,GM_ID__c,MARKET_DESC__c,MARKET_ID__c,Name,Product_Id__c,Product_Name__c,RHMS_Vertical_Id__c,SBU1_DESC__c,SBU1_ID__c,SBU2_DESC__c,SBU2_ID__c,STATE_ID__c,SUBVERTICAL_DESC__c,SUBVERTICAL_ID__c,VERTICAL_DESC__c,VERTICAL_ID__c
Switzerland,119,3||119||299||1282,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Switzerland|SWISS|NOVARTIS,,,,SWISS,299,NOVARTIS,1282,,,,,
Zenith,203,42||203||639||1283,,,M&A,42,,,M&A|Zenith|Zenith|Zenith,,,,Zenith,639,Zenith,1283,,,,,
Zenith,203,42||203||639,,,M&A,42,,,M&A|Zenith|Zenith,,,,Zenith,639,,,,,,,
Brazil,173,41||173||640,,,LATAM,41,,,LATAM|Brazil|Frontica,,,,Frontica,640,,,,,,,
Contino,205,42||205,,,M&A,42,,,M&A|Contino,,,,,,,,,,,,
Contino,205,42||205||642,,,M&A,42,,,M&A|Contino|Contino-NA,,,,Contino-NA,642,,,,,,,
Contino,205,42||205||642||1284,,,M&A,42,,,M&A|Contino|Contino-NA|Contino-NA,,,,Contino-NA,642,Contino-NA,1284,,,,,
Contino,205,42||205||643,,,M&A,42,,,M&A|Contino|Contino- APAC,,,,Contino- APAC,643,,,,,,,
Contino,205,42||205||643||1285,,,M&A,42,,,M&A|Contino|Contino- APAC|Contino- APAC,,,,Contino- APAC,643,Contino- APAC,1285,,,,,
Contino,205,42||205||644,,,M&A,42,,,M&A|Contino|Contino- UK,,,,Contino- UK,644,,,,,,,
Contino,205,42||205||644||1286,,,M&A,42,,,M&A|Contino|Contino- UK|Contino- UK,,,,Contino- UK,644,Contino- UK,1286,,,,,
,,BFS||21222,,,,,,,BFS|BFS Platinum Delivery,,,54,,,,,,BFS Platinum Delivery,21222,BFS,BFS
,,BFS||21223,,,,,,,BFS|ANZ,,,54,,,,,,ANZ,21223,BFS,BFS
,,HEALTHCARE||21224,,,,,,,Healthcare- Plans & Providers|Emblem & TMG Delivery,,,16,,,,,,Emblem & TMG Delivery,21224,Healthcare- Plans & Providers,HEALTHCARE
Meritsoft,199,42||199||636||1279,,,M&A,42,,,M&A|Meritsoft|Meritsoft|Meritsoft,,,,Meritsoft,636,Meritsoft,1279,,,,,
Meritsoft,199,42||199||636,,,M&A,42,,,M&A|Meritsoft|Meritsoft,,,,Meritsoft,636,,,,,,,
Nordics,125,3||125||638||1281,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Nordics|Samlink|Samlink,,,,Samlink,638,Samlink,1281,,,,,
Nordics,125,3||125||638,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Nordics|Samlink,,,,Samlink,638,,,,,,,
,,CHE||AA,CHE,Switzerland,,,,,Aargau,,,,,,,,AA,,,,
,,CHL||AA,CHL,Chile,,,,,Araucania,,,,,,,,AA,,,,
,,FRA||AA,FRA,France,,,,,Alsace,,,,,,,,AA,,,,
,,NLD||AA,NLD,Netherlands,,,,,Aalburg,,,,,,,,AA,,,,
,,USA||AA,USA,United States,,,,,Armed Forces Americas,,,,,,,,AA,,,,
,,CAN||AB,CAN,Canada,,,,,Alberta,,,,,,,,AB,,,,
,,ESP||AB,ESP,Spain,,,,,Albacete,,,,,,,,AB,,,,
,,FRA||AB,FRA,France,,,,,Aube,,,,,,,,AB,,,,
,,GBR||AB,GBR,United Kingdom,,,,,Aberdeen City,,,,,,,,AB,,,,
,,ITA||AB,ITA,Italy,,,,,Abruzzo,,,,,,,,AB,,,,
,,NGA||AB,NGA,Nigeria,,,,,Abia,,,,,,,,AB,,,,
,,NLD||AB,NLD,Netherlands,,,,,Abcoude,,,,,,,,AB,,,,
,,PHL||AB,PHL,Philippines,,,,,Abra,,,,,,,,AB,,,,
,,ROU||AB,ROU,Romania,,,,,Alba,,,,,,,,AB,,,,
,,SWE||AB,SWE,Sweden,,,,,Stockholm,,,,,,,,AB,,,,
,,AUS||AC,AUS,Australia,,,,,Austl. Cap. Terr.,,,,,,,,AC,,,,
,,BRA||AC,BRA,Brazil,,,,,Acre,,,,,,,,AC,,,,
,,IDN||AC,IDN,Indonesia,,,,,Aceh  [Atjeh] (Special Region),,,,,,,,AC,,,,
,,NLD||AC,NLD,Netherlands,,,,,Achtkarspelen,,,,,,,,AC,,,,
,,THA||AC,THA,Thailand,,,,,Amnat Charoen,,,,,,,,AC,,,,
,,FRA||AD,FRA,France,,,,,Ardennes,,,,,,,,AD,,,,
,,NGA||AD,NGA,Nigeria,,,,,Adamawa,,,,,,,,AD,,,,
,,NLD||AD,NLD,Netherlands,,,,,Ambt Delden,,,,,,,,AD,,,,
,,TUR||AD,TUR,Turkey,,,,,Adana,,,,,,,,AD,,,,
,,YEM||AD,YEM,Yemen,,,,,Adan,,,,,,,,AD,,,,
,,FRA||AE,FRA,France,,,,,Alpes Maritimes,,,,,,,,AE,,,,
,,NLD||AE,NLD,Netherlands,,,,,Aarle-Rixtel,,,,,,,,AE,,,,
,,USA||AE,USA,United States,,,,,Armed Forces Europe,,,,,,,,AE,,,,
,,NLD||AF,NLD,Netherlands,,,,,Amersfoort,,,,,,,,AF,,,,
,,TUR||AF,TUR,Turkey,,,,,Afyon,,,,,,,,AF,,,,
,,USA||AF,USA,United States,,,,,American Samoa Federal,,,,,,,,AF,,,,
